obec,strana,pocet
500054,1,2014
500054,18,146
500054,10,460
500054,4,491
500054,5,11275
500054,9,1016
500054,12,374
500054,6,55
500054,7,4623
500054,2,116
500054,13,58
500054,11,4002
500089,1,2320
500089,18,224
500089,10,680
500089,4,644
500089,5,15631
500089,9,1403
500089,12,595
500089,6,64
500089,7,6975
500089,2,154
500089,13,70
500089,11,5084
500097,1,2778
500097,18,327
500097,10,1004
500097,4,877
500097,5,19588
500097,9,2938
500097,12,923
500097,6,120
500097,7,10261
500097,2,192
500097,13,132
500097,11,5968
500119,1,5592
500119,18,584
500119,10,1655
500119,4,1634
500119,5,38105
500119,9,5587
500119,12,1683
500119,6,185
500119,7,19443
500119,2,393
500119,13,187
500119,11,12071
500143,1,2963
500143,18,312
500143,10,901
500143,4,889
500143,5,20374
500143,9,2460
500143,12,776
500143,6,117
500143,7,9846
500143,2,226
500143,13,98
500143,11,6754
539449,1,45
539449,18,2
539449,10,20
539449,4,21
539449,5,417
539449,9,51
539449,12,51
539449,6,2
539449,7,204
539449,2,5
539449,13,0
539449,11,72
539465,1,16
539465,18,2
539465,10,6
539465,4,7
539465,5,142
539465,9,35
539465,12,9
539465,06,0
539465,7,100
539465,2,2
539465,13,1
539465,11,35
539601,1,231
539601,18,40
539601,10,107
539601,4,86
539601,5,1905
539601,9,340
539601,12,80
539601,6,4
539601,7,983
539601,2,27
539601,13,7
539601,11,536
539635,1,100
539635,18,16
539635,10,31
539635,4,30
539635,5,647
539635,9,74
539635,12,28
539635,6,2
539635,7,258
539635,2,13
539635,13,1
539635,11,194
539678,1,55
539678,18,10
539678,10,27
539678,4,32
539678,5,553
539678,9,79
539678,12,21
539678,6,3
539678,7,257
539678,2,13
539678,13,1
539678,11,150
547115,1,54
547115,18,9
547115,10,15
547115,4,41
547115,5,480
547115,9,72
547115,12,23
547115,6,6
547115,7,207
547115,2,9
547115,13,2
547115,11,124
539864,1,274
539864,18,42
539864,10,67
539864,4,80
539864,5,2090
539864,9,329
539864,12,57
539864,6,10
539864,7,1035
539864,2,24
539864,13,10
539864,11,611
539899,1,70
539899,18,18
539899,10,59
539899,4,54
539899,5,665
539899,9,137
539899,12,31
539899,6,2
539899,7,477
539899,2,11
539899,13,3
539899,11,210
500178,1,4856
500178,18,444
500178,10,1208
500178,4,1095
500178,5,27545
500178,9,6282
500178,12,1138
500178,6,133
500178,7,14141
500178,2,274
500178,13,121
500178,11,10417
547140,1,39
547140,18,5
547140,10,6
547140,4,12
547140,5,212
547140,9,37
547140,12,1
547140,06,0
547140,7,95
547140,2,4
547140,13,1
547140,11,66
547158,1,62
547158,18,12
547158,10,30
547158,4,18
547158,5,500
547158,9,112
547158,12,25
547158,6,2
547158,7,288
547158,2,5
547158,13,3
547158,11,128
539589,1,16
539589,18,1
539589,10,2
539589,4,1
539589,5,120
539589,9,9
539589,12,0
539589,6,1
539589,7,34
539589,02,0
539589,13,0
539589,11,20
547174,1,812
547174,18,107
547174,10,254
547174,4,250
547174,5,4923
547174,9,858
547174,12,147
547174,6,23
547174,7,3208
547174,2,65
547174,13,15
547174,11,1488
547271,1,259
547271,18,20
547271,10,61
547271,4,59
547271,5,1342
547271,9,260
547271,12,35
547271,6,1
547271,7,715
547271,2,16
547271,13,9
547271,11,480
500186,1,1486
500186,18,198
500186,10,589
500186,4,549
500186,5,11131
500186,9,1452
500186,12,453
500186,6,54
500186,7,5841
500186,2,121
500186,13,60
500186,11,3781
547328,1,47
547328,18,6
547328,10,13
547328,4,16
547328,5,246
547328,9,24
547328,12,5
547328,06,0
547328,7,116
547328,2,2
547328,13,0
547328,11,84
500208,1,3585
500208,18,500
500208,10,1469
500208,4,1275
500208,5,25988
500208,9,5435
