obec,volici,vydane,odevzdane,platne
500054,31433,18904,18887,18808
500089,45373,26070,26021,25906
500097,60841,35472,35445,35313
500119,114735,68867,68749,68478
539601,5513,3604,3602,3587
539678,1693,1099,1099,1095
500143,63489,37974,37926,37779
547115,1380,935,935,929
539449,1267,796,795,794
539864,6552,3977,3977,3962
539465,476,278,278,277
500178,85088,55678,55609,55422
539589,306,212,212,211
547140,753,518,518,517
547271,4386,2957,2953,2930
547158,1627,1069,1069,1067
500186,34683,20524,20496,20411
547328,752,503,502,501
500208,89231,51091,51054,50857
547298,1893,1205,1204,1201
538124,559,391,390,390
547301,2066,1293,1293,1288
547417,11677,6843,6832,6799
547310,4739,2982,2979,2963
547344,3799,2559,2557,2549
538736,1088,747,747,747
500216,35766,20657,20637,20564
539007,2016,1276,1271,1269
500224,92663,57377,57320,57106
547034,68684,40842,40819,40680
539724,1381,892,892,891
538400,272,178,178,178
539791,1369,822,822,820
547107,46308,27288,27265,27174
547051,6055,3694,3691,3676
547042,4224,2790,2789,2782
539694,39211,22169,22155,22092
539635,1895,1164,1164,1157
547174,17707,10241,10235,10207
539899,2593,1454,1454,1452
547361,28843,15702,15683,15635
538175,1486,983,983,981
538213,10356,6593,6579,6557
538302,2151,1480,1480,1476
538949,6058,3801,3799,3777
538353,704,484,484,479
538060,1286,903,902,895
547387,22277,13277,13259,13207
538361,1429,943,940,928
538931,3845,2281,2278,2270
538388,222,144,144,144
538078,299,215,215,214
538531,198,135,135,134
547379,932,638,638,635
547395,4552,2699,2698,2691
538205,1640,1110,1110,1105
547409,722,503,502,502
529303,13058,7709,7709,7670
530255,28,18,18,18
532568,194,145,145,145
530263,363,268,268,267
530743,166,109,109,107
530298,828,442,442,440
532380,81,72,72,72
530301,412,261,261,261
532096,83,65,65,65
530310,1775,1048,1045,1029
532924,455,240,240,239
530344,889,537,536,535
529451,3083,1845,1845,1841
599395,41,35,35,35
532690,84,63,63,63
530352,253,150,150,149
529478,89,55,55,55
533076,134,90,90,88
529486,1112,713,713,711
530409,229,148,148,147
529516,2113,1281,1278,1276
532649,219,157,157,157
529532,263,178,178,177
530441,798,476,476,475
529541,153,120,119,119
530450,867,466,466,463
529567,259,189,188,187
530476,432,273,273,272
532746,48,38,38,38
530492,228,148,147,145
529621,1071,651,651,649
530514,95,72,72,72
529648,738,453,451,450
538680,1008,689,689,682
532151,50,36,36,36
530522,228,160,160,160
532843,59,46,46,45
530531,247,174,174,174
529702,550,384,384,381
530549,155,112,112,112
532932,44,31,31,29
532550,182,122,122,122
529737,245,178,178,178
532941,148,68,68,68
529745,255,178,178,178
534382,3008,1703,1700,1694
532886,124,88,88,87
530573,2380,1517,1517,1506
532878,53,37,37,37
532231,40,33,33,33
532045,199,121,120,120
530611,224,149,149,148
529770,114,83,83,83
532436,99,76,76,76
529788,85,72,72,71
530638,227,177,177,173
529796,827,490,490,484
599387,209,112,112,109
532606,48,37,37,37
599379,93,71,71,71
529818,353,222,222,219
599361,104,59,59,59
532037,157,119,119,117
530689,520,322,321,321
529842,683,465,465,464
530701,277,202,202,201
529851,99,70,70,69
530719,90,62,62,62
532134,100,68,68,68
532509,53,50,50,50
531031,151,92,92,92
530751,218,120,119,118
529907,153,110,110,110
530760,313,205,205,204
533084,238,167,167,167
530778,176,147,147,147
529931,343,210,210,210
532592,154,112,112,112
529940,185,121,121,120
532541,102,82,82,82
529958,699,441,440,437
530816,1018,539,539,537
529974,291,174,174,174
532304,67,54,54,53
529991,583,369,369,369
530841,4169,2441,2439,2431
530000,337,214,214,212
532061,375,243,243,243
530026,71,65,65,65
530867,250,146,146,145
530051,438,272,272,270
530883,10111,5396,5393,5377
530069,129,85,85,85
532614,72,45,45,45
532258,41,36,36,36
530891,388,245,245,242
530093,434,309,309,309
530905,3594,2116,2115,2094
530107,559,368,368,362
530913,299,193,193,193
532193,290,199,199,199
530921,241,168,168,167
530115,555,360,360,359
530948,707,417,417,416
530158,297,192,192,192
532266,57,50,50,50
530166,718,469,469,466
513482,144,97,97,97
530174,117,94,94,94
571415,42,24,24,24
530191,194,117,117,114
531022,416,221,221,220
530204,522,363,363,358
531049,313,201,201,200
530212,824,455,454,449
534421,143,90,90,89
533912,89,69,69,69
531057,14209,7671,7670,7642
533602,144,102,102,102
531073,232,114,114,113
534269,93,74,74,73
531081,630,408,408,408
531588,417,236,236,235
531090,207,133,133,132
531596,1211,790,790,783
531103,198,137,137,137
531600,451,300,300,300
534145,158,112,112,112
531626,331,187,187,187
531120,349,232,232,231
531634,593,371,370,370
531138,752,486,486,484
531642,268,163,163,160
531154,501,363,363,360
534111,113,77,77,77
531162,196,134,134,134
531669,346,238,238,238
531171,427,303,303,300
534285,130,100,99,99
531189,5206,2878,2878,2874
531685,491,340,340,339
531201,1228,678,678,669
531693,651,430,430,428
531219,258,190,190,190
531715,327,185,185,184
531227,964,622,622,618
533963,95,56,56,56
531235,192,154,154,154
531740,288,189,189,189
531243,978,588,588,577
531758,408,259,259,256
531251,328,220,220,217
531766,272,176,176,174
534455,164,92,92,92
531782,350,227,227,227
534447,401,265,265,264
531791,324,225,225,225
533670,513,329,329,328
531804,104,76,76,75
531294,1218,783,782,779
531812,240,156,156,156
531308,138,86,86,86
531839,568,358,357,356
531316,620,399,399,398
531847,637,421,421,419
531324,1959,1180,1180,1172
531855,729,381,381,380
531332,143,117,117,117
534463,204,128,128,127
533793,68,50,50,50
533106,169,127,127,125
534072,230,135,135,135
531880,103,82,82,82
533203,4273,2132,2131,2119
531901,454,321,320,319
531375,460,297,297,292
531910,282,182,182,181
533939,65,45,45,45
534234,69,52,52,52
533335,129,119,119,119
534048,175,123,123,121
531448,400,235,235,235
531944,706,446,446,445
531456,736,412,411,410
531952,318,207,207,206
531464,1223,700,699,695
531961,427,244,244,243
531472,851,461,461,458
531979,501,374,373,370
534404,82,51,51,51
533131,180,115,114,113
533319,69,47,47,46
531995,1088,723,723,721
534218,73,56,56,56
532002,374,234,234,234
531529,229,124,124,124
532011,3038,1813,1813,1796
531537,348,223,223,222
532029,1537,968,967,965
531545,469,269,269,269
599417,168,112,112,112
535010,243,134,134,134
532622,255,152,152,152
532070,106,85,85,85
532631,211,148,148,147
532088,233,121,121,121
513113,196,138,138,138
535125,127,83,83,81
532657,267,168,167,167
532100,226,149,149,148
571521,99,67,67,67
532118,1361,799,795,793
532665,286,155,155,153
532126,699,489,489,489
532673,349,228,228,227
532142,599,380,380,378
532681,566,340,340,340
532169,1891,1098,1096,1094
564192,134,83,83,83
532185,464,290,290,290
532711,75,53,53,52
532207,731,394,394,391
532720,1387,857,857,852
532223,902,626,625,620
532738,342,255,255,255
513130,154,152,112,112
564125,140,100,100,100
512991,136,91,91,91
532754,242,163,163,163
532274,697,485,485,485
564087,161,114,114,114
532282,316,199,199,197
532762,317,213,213,213
532291,220,156,154,153
532771,262,154,154,153
513075,244,127,127,126
532797,234,136,136,135
532312,358,260,260,260
532801,216,117,117,117
532321,181,142,142,141
532819,12426,6942,6933,6911
535150,102,69,69,69
532827,324,209,209,209
532339,386,185,185,183
532835,1346,769,767,764
532347,750,398,398,396
532851,414,243,243,243
532355,363,260,259,258
532860,4301,2373,2373,2363
532363,319,239,239,238
599441,87,44,43,43
532371,1036,590,589,589
551457,249,140,140,140
532398,172,100,100,100
599433,103,103,103,103
532401,192,102,102,102
532908,487,329,329,329
532410,262,169,169,168
532916,152,94,94,94
532428,157,121,121,120
532959,398,247,247,246
532444,905,551,551,551
532967,140,103,103,103
532452,1279,801,801,800
532975,342,255,255,251
513032,291,197,197,196
532983,1729,1141,1140,1133
532053,57068,29757,29736,29638
532177,382,248,248,247
532461,791,489,489,487
533009,279,147,146,145
532479,216,106,106,104
533017,2949,1837,1837,1822
532487,388,269,269,268
533025,906,575,575,575
532495,428,243,243,243
533033,635,401,400,400
535109,99,78,78,78
533041,2314,1428,1426,1420
571512,75,55,55,55
533050,1880,1115,1115,1108
532517,65,49,49,48
533068,509,295,295,295
532525,441,295,295,295
571431,161,83,83,82
532533,313,210,210,209
571598,76,44,44,44
513041,461,346,344,344
533092,414,254,254,254
564150,37,30,30,30
571423,69,64,64,63
571601,191,125,125,125
533114,1659,884,884,879
532576,11122,1131,1129,1125
533122,650,390,390,388
532584,366,274,274,270
599425,140,72,72,71
571555,63,46,46,46
533149,559,422,422,420
535095,99,68,68,66
533157,396,236,236,235
533173,170,111,111,111
533564,681,429,429,427
533181,829,483,483,480
571679,59,49,49,49
533190,190,110,110,110
533572,533,328,328,328
533211,229,154,154,154
513423,243,162,162,162
533220,411,247,247,246
537641,3461,2099,2096,2086
533238,417,265,265,265
533581,1144,659,658,657
533246,1164,695,694,687
533599,452,317,317,317
599476,122,87,87,87
513237,123,98,98,98
533254,229,155,155,155
513148,109,80,80,80
533262,1319,763,763,754
537705,1003,654,654,647
533271,5483,2834,2833,2819
564788,47,36,36,36
533289,607,406,406,403
513369,141,70,70,70
533297,339,219,219,219
513393,315,190,190,186
513181,101,71,71,71
533611,365,217,217,216
533301,184,106,106,104
533629,749,462,462,458
564681,161,110,110,110
533637,274,175,175,175
599450,71,58,58,57
533645,334,185,185,185
533327,396,247,247,247
533653,439,330,330,325
564800,145,82,82,82
537748,384,238,238,238
533343,354,240,240,239
533661,320,184,184,184
533351,441,239,239,235
533696,158,96,96,95
533360,280,194,194,191
533700,1262,721,721,718
533378,381,252,252,252
533718,823,523,522,520
513415,185,124,124,123
533726,460,241,241,241
571687,94,79,79,78
571644,94,70,70,69
533386,663,341,341,338
533734,305,153,153,152
533165,24918,14750,14731,14680
533742,232,152,152,152
533394,570,333,332,332
533751,316,223,223,222
564761,140,87,87,86
533769,714,486,486,485
533408,473,287,287,287
533777,280,150,150,150
533416,2687,1609,1609,1598
533785,534,302,302,301
533424,1437,902,902,896
533807,1469,910,910,909
533432,430,280,280,278
533815,304,208,208,207
533441,620,400,399,397
533823,170,113,113,113
533459,269,145,145,145
533831,1540,1038,1038,1034
599484,81,66,66,66
533840,1725,1101,1097,1094
533467,335,226,226,224
533858,982,619,619,613
571717,184,88,88,88
533866,763,450,450,446
533475,204,120,120,119
533874,90,63,63,63
533483,206,125,125,125
533882,384,185,185,185
513270,158,108,108,108
564826,191,107,107,106
533505,237,127,127,127
533891,250,135,134,133
533513,223,165,165,164
537977,283,186,186,184
564702,49,35,35,35
564796,84,65,65,65
513288,103,69,69,69
533904,395,266,266,265
533521,391,290,290,289
513202,90,62,62,62
571636,223,137,137,137
533921,1343,808,808,806
533530,839,496,496,494
513261,161,109,108,106
533548,263,165,165,165
513164,256,192,192,191
533556,223,153,153,153
533947,1078,626,626,622
531367,102,90,90,90
534315,239,145,145,145
531111,135,93,93,92
534323,99,90,90,83
533971,471,280,280,279
528196,179,108,108,108
530964,27,15,15,15
534331,501,304,304,304
533980,324,212,212,212
534340,239,117,117,116
530832,90,64,64,62
534358,457,282,282,282
531286,324,213,213,211
526622,214,154,153,150
533998,884,533,533,528
534366,207,137,137,137
534005,8006,4819,4814,4799
534374,107,70,70,69
529524,30,25,25,25
530859,231,174,174,174
534013,346,244,244,244
531383,63,51,51,51
534021,573,344,344,338
534391,135,110,110,110
534030,372,241,241,241
534293,152,116,116,115
529559,95,80,80,80
531065,93,57,57,57
531260,79,59,59,59
534412,210,140,140,138
531341,307,178,178,178
530875,98,64,64,63
531197,337,207,207,207
531391,56,41,41,40
531430,346,197,197,197
534439,843,521,521,520
534056,336,233,233,232
534196,615,430,430,430
531359,304,217,217,216
531421,88,63,63,63
531481,154,96,96,96
530930,108,77,77,77
534064,199,137,137,134
530981,166,82,82,82
531413,99,58,57,57
530972,120,81,81,81
534081,222,172,172,172
571741,101,71,71,71
534099,573,352,352,351
534480,423,243,243,242
534102,534,314,312,312
534498,2434,1366,1366,1360
534129,712,500,499,496
534501,348,243,243,242
534137,377,267,266,266
534510,490,313,313,313
531405,143,110,110,108
534528,359,214,214,214
551465,38,28,28,28
534536,192,123,123,123
534153,312,186,186,186
534544,189,126,126,125
534161,459,268,268,268
534552,207,117,117,116
533955,16871,9522,9517,9496
534561,440,246,246,245
534170,136,77,77,77
534579,502,320,320,316
534188,706,454,454,451
531014,62,44,44,44
534200,639,394,394,392
534587,2315,1266,1266,1263
530999,266,161,161,160
534595,629,414,414,413
534226,172,111,111,110
534609,304,181,181,181
534242,620,348,348,348
534617,1114,683,683,682
534251,162,131,131,131
534625,512,315,315,314
534277,214,156,156,155
534633,3996,2308,2308,2297
530956,96,77,77,77
534641,287,190,190,189
531278,152,107,107,107
534650,458,281,280,278
534307,140,104,104,104
534668,1015,629,629,629
534684,145,112,112,111
535036,619,361,361,357
534714,246,137,137,135
529575,90,61,61,61
534722,894,516,516,513
535044,681,376,376,376
534731,766,394,394,392
534676,15756,8628,8623,8595
534749,438,238,238,237
535052,1127,693,693,690
531570,136,75,75,74
535061,299,177,177,175
534765,1001,579,579,576
531863,208,115,115,114
531987,58,41,41,41
535079,1071,620,620,619
534773,269,125,125,125
535087,12646,6398,6394,6355
534781,596,365,365,363
531707,133,91,91,90
534790,950,598,598,596
535117,707,407,407,406
534803,585,328,328,325
535133,738,384,380,376
531499,173,100,100,100
535141,324,214,214,212
531928,260,108,108,107
535168,459,271,271,268
534820,333,164,164,164
535192,331,171,171,171
534838,378,226,226,225
531731,183,113,113,113
534846,338,206,206,204
535214,288,155,155,153
531871,141,109,109,109
535222,1149,691,690,689
531774,111,69,69,69
531561,418,203,203,203
531651,43,35,35,35
529583,98,64,64,64
534897,762,398,398,391
599492,88,66,65,65
534901,296,141,141,141
535257,607,305,305,305
531553,204,129,129,127
535265,671,404,404,403
534935,2381,1299,1298,1295
535273,1245,804,804,802
571792,228,147,147,146
531936,172,128,128,127
534951,14093,7392,7389,7361
535290,538,281,279,279
534960,175,122,122,122
535303,666,386,386,385
534978,461,275,275,274
535311,258,151,151,150
534986,272,184,184,182
535320,1606,829,829,825
531898,192,131,131,130
535338,600,327,327,327
535001,793,423,423,422
535354,279,117,117,117
571784,1418,859,859,857
535362,546,310,310,309
531502,371,184,184,183
531511,148,83,83,83
531677,103,53,53,53
535389,262,146,146,146
535028,1072,613,612,607
535397,353,219,219,218
535427,3638,2301,2300,2285
565563,191,136,136,136
535443,3860,2063,2060,2048
570770,146,97,97,97
535451,5424,2850,2848,2828
536261,203,146,146,146
535478,702,425,424,424
536270,1118,579,579,575
565750,82,59,59,59
565644,303,164,164,164
535486,218,148,148,146
535419,34863,18990,18965,18886
535508,209,129,129,129
536326,6852,3950,3949,3928
535516,301,183,183,182
565822,63,45,45,45
570788,368,282,282,282
571865,151,110,110,110
571946,168,106,106,105
536334,124,91,91,91
535559,790,433,433,428
571156,106,67,67,67
535567,261,166,166,165
536351,275,183,183,183
535583,483,271,271,270
571997,27,19,19,19
599514,223,107,107,106
571121,212,121,121,119
535605,439,289,289,288
536377,131,86,86,86
570991,81,54,54,54
571806,188,128,128,128
535621,640,342,342,338
570893,157,119,119,117
535630,496,328,328,328
536407,163,112,112,112
570818,144,97,96,96
571032,106,84,84,83
535656,251,155,155,155
598241,64,39,39,39
535672,2455,1494,1494,1487
536431,170,118,118,118
571989,183,138,138,138
536440,421,289,289,287
535702,1825,1100,1098,1097
536458,280,151,151,151
535711,125,66,66,66
565580,156,99,99,97
535729,245,144,144,144
570753,68,34,34,34
570940,164,117,117,117
536491,471,234,234,232
535745,197,135,135,135
570923,96,82,82,79
571067,65,52,52,52
571938,136,74,74,73
565989,232,163,162,159
565652,29,22,22,22
535818,311,204,204,204
565636,116,96,96,95
535834,171,94,94,94
529605,150,88,88,88
599531,165,79,79,78
571148,93,76,76,75
535869,418,252,252,252
536580,458,296,296,296
565733,135,101,101,101
565661,59,44,44,44
599522,100,75,75,75
529591,145,94,94,94
565784,142,141,98,98
536610,373,228,228,225
535923,307,199,199,196
599573,87,74,74,74
535931,611,337,337,337
536636,271,164,164,163
571849,127,83,83,83
557030,291,193,193,192
535966,312,186,186,184
536652,487,253,253,251
535974,304,217,217,217
536661,329,182,182,180
566039,266,177,177,176
565539,245,162,162,160
529613,317,171,171,171
536709,189,118,118,118
536008,595,338,338,336
571881,73,66,66,64
536024,517,303,303,301
536717,135,93,93,93
571075,49,37,37,37
565920,62,53,53,53
536041,1217,746,746,742
571954,332,214,214,213
571172,50,41,41,41
536768,220,155,155,155
536067,308,217,217,215
570982,191,108,108,108
570974,152,112,112,112
570761,81,59,59,59
599557,58,43,43,43
536857,269,185,185,185
570826,3007,1868,1868,1858
565725,86,63,63,63
536121,292,182,182,178
565628,195,124,124,121
536130,284,189,189,188
570842,206,130,130,130
566047,124,82,82,82
565571,293,190,190,190
571971,109,78,78,78
572021,111,72,72,71
572012,101,74,74,73
536938,492,286,286,282
536164,153,88,88,87
571814,321,200,200,199
536172,380,237,236,235
536971,972,639,639,636
536181,581,266,266,265
536989,250,147,147,145
536202,254,167,167,167
536997,176,117,117,117
536211,96,51,51,49
537021,702,429,429,426
537501,3317,1508,1508,1501
537039,596,378,378,378
534919,175,132,132,131
537047,233,146,146,146
599654,58,57,57,57
537055,450,259,259,258
537004,11854,6560,6553,6527
599301,80,51,51,48
537551,222,163,162,162
599671,168,129,129,128
537560,133,95,95,94
537080,381,216,216,216
537578,331,189,189,187
537098,194,150,150,150
537586,656,449,449,443
537101,161,115,115,115
599662,98,67,67,66
537110,427,255,255,254
537616,400,252,252,251
537128,597,312,312,312
537624,326,222,222,222
534854,79,59,59,59
537632,412,269,269,269
537152,505,338,338,338
537659,317,194,194,190
537161,199,108,108,108
537667,284,218,217,214
537179,356,216,215,214
537675,451,291,291,288
599638,405,206,206,206
537683,11047,6961,6956,6925
599620,261,160,160,160
599590,132,76,76,76
537217,333,211,211,210
537721,789,535,535,533
537225,278,143,143,141
537756,1339,719,719,713
534994,147,116,115,115
537764,2153,1432,1432,1428
537233,365,228,228,227
537772,374,201,201,201
534706,173,128,128,128
534757,139,74,74,73
537250,259,152,152,152
537781,649,368,368,366
599581,342,263,263,259
537799,136,100,100,100
537268,246,146,146,146
537802,444,263,263,263
537276,426,291,291,290
537811,655,381,381,380
537292,409,268,268,265
537837,371,189,189,188
551481,144,96,96,96
534889,119,75,75,75
537306,74,48,48,48
537853,415,260,260,259
537314,585,402,401,398
537861,314,170,170,170
529630,195,100,100,100
537888,466,288,288,287
537331,1298,666,666,661
537896,635,328,328,325
537349,281,184,183,182
537900,248,131,131,131
537357,777,468,467,466
536083,169,100,100,100
534943,204,141,141,139
534871,160,101,101,100
537373,564,317,317,317
537942,260,135,135,135
537390,580,387,387,385
537951,74,60,60,60
537403,278,172,172,170
599611,153,116,116,115
537411,1094,608,608,605
537985,454,270,270,269
537438,1099,698,698,697
537993,254,154,153,150
537446,921,570,567,566
534471,269,136,136,136
537454,6668,3774,3771,3754
599697,149,86,86,85
537462,326,185,185,181
534862,175,127,127,127
537489,2378,1333,1332,1326
538035,357,240,240,240
537497,229,144,144,144
503410,141,65,65,65
538043,218,137,137,136
564907,76,38,38,38
538051,458,278,278,276
538574,3484,2085,2085,2082
538086,393,272,272,272
538582,898,582,582,578
538094,12306,7404,7403,7371
538604,395,236,236,234
538108,473,278,278,278
